Level: State
Unit:Per Capita (dollars), Nominal
State,Year,(R01) Total Revenue,(R05) Total Taxes,(R39) Chg-Total Education,(R41) Chg-Total High Ed,(R46) Chg-Highways,(R64) Total Utility Revenue,(E049) Gen Pub Bldg-Total Exp,(E052) Health & Hosp-Dir Exp,(E061) Own Hospital-Total Exp,(E065) Total Highways-Dir Exp,(E083) Parking-Direct Expend,(E087) Police Prot-Direct Exp
Florida,2013.0,$           4995,$           1816,$            125,$            125,$             69,$              1,$              1,$            235,N/A,$            272,$              0,$             26
Florida,2014.0,$           5320,$           1836,$            129,$            128,$             73,$              1,$              0,$            240,N/A,$            352,$              0,$             28
Florida,2015.0,$           4478,$           1847,$            133,$            132,$             81,$              1,$              1,$            237,N/A,$            374,$              0,$             27
Florida,2016.0,$           4211,$           1875,$            135,$            134,$             88,$              1,$              1,$            235,N/A,$            361,$              0,$             29
Florida,2017.0,$           5145,$           1980,$            137,$            136,$             92,$              1,$              1,$            253,N/A,$            387,$              0,$             29
Florida,2018.0,$           5216,$           2175,$            133,$            132,$             93,$              1,$              1,$            264,N/A,$            372,$              0,$             30
Florida,2019.0,$           4970,$           2098,$            130,$            129,$             92,$              1,$              1,$            312,N/A,$            401,$              0,$             30
Florida,2020.0,$           5077,$           1999,$            127,$            126,$             87,$              1,$              2,$            349,N/A,$            391,$              0,$             30
Georgia,2010.0,$           4622,$           1522,$            271,$            270,$              3,$              1,$              1,$            174,N/A,$            210,$              0,$             30
Georgia,2011.0,$           5331,$           1632,$            305,$            304,$              3,$              1,$              1,$            179,N/A,$            156,$              0,$             29
Georgia,2012.0,$           3978,$           1687,$            263,$            262,$              4,$              1,$              1,$            192,N/A,$            175,$              0,$             30
Georgia,2013.0,$           5009,$           1798,$            266,$            265,$              3,$              1,$              0,$            187,N/A,$            187,$              0,$             29
Georgia,2014.0,$           5289,$           1847,$            259,$            258,$              3,$              1,$              0,$            191,N/A,$            204,$              0,$             28
Georgia,2015.0,$           4464,$           1936,$            236,$            235,$              3,$              1,$              2,$            203,N/A,$            170,$              0,$             33
Georgia,2016.0,$           4422,$           2079,$            244,$            243,$              4,$              0,$              1,$            220,N/A,$            249,$              0,$             34
Georgia,2017.0,$           5414,$           2166,$            248,$            247,$              5,$              1,$              2,$            235,N/A,$            256,$              0,$             40
Georgia,2018.0,$           5395,$           2224,$            249,$            248,$              6,$              1,$              4,$            227,N/A,$            244,$              0,$             40
Georgia,2019.0,$           5409,$           2306,$            252,$            251,$              6,$              0,$              7,$            221,N/A,$            242,$              0,$             42
Georgia,2020.0,$           5600,$           2201,$            242,$            241,$              7,$              0,$              3,$            250,N/A,$            277,$              0,$             43
Hawaii,2010.0,$           8505,$           3544,$            265,$            242,$              0,$              0,$             32,$            850,N/A,$            344,$              2,$             24
Hawaii,2011.0,$           9247,$           3508,$            359,$            333,$              0,$              0,$             31,$            902,N/A,$            258,$              2,$             23
Hawaii,2012.0,$           7533,$           3926,$            292,$            266,$              0,$              0,$             26,$            744,N/A,$            311,$              2,$             19
Hawaii,2013.0,$           9375,$           4294,$            292,$            268,$              2,$              0,$             24,$            742,N/A,$            291,$              2,$             21
Hawaii,2014.0,$           9869,$           4220,$            286,$            264,$              0,$              0,$             33,$            870,N/A,$            314,$              2,$             25
Hawaii,2015.0,$           9163,$           4484,$            297,$            275,$              0,$              0,$             37,$            799,N/A,$            282,$              3,$             25
Hawaii,2016.0,$           9215,$           4749,$            309,$            286,$              0,$              0,$             52,$            782,N/A,$            283,$              2,$             26
Hawaii,2017.0,$          11248,$           4820,$            303,$            281,$              0,$              0,$             55,$            815,N/A,$            213,$              2,$             31
Hawaii,2018.0,$          11197,$           5283,$            294,$            272,$              0,$              0,$             60,$            748,N/A,$            317,$              2,$             31
Hawaii,2019.0,$          11141,$           5633,$            295,$            273,$              0,$              0,$             50,$            778,N/A,$            379,$              2,$             33
Hawaii,2020.0,$          11557,$           5309,$            282,$            264,$              0,$              0,$             39,$            876,N/A,$            361,$              3,$             37
Idaho,2010.0,$           5638,$           1879,$            245,$            245,$              4,$              0,$             37,$            147,N/A,$            440,$              0,$             32
Idaho,2011.0,$           6603,$           2056,$            271,$            271,$              5,$              0,$             11,$            126,N/A,$            448,$              0,$             31
Idaho,2012.0,$           5373,$           2109,$            245,$            245,$              4,$              0,$             58,$            216,N/A,$            359,$              0,$             30
Idaho,2013.0,$           6166,$           2211,$            247,$            246,$              4,$              0,$             50,$            221,N/A,$            348,$              0,$             31
Idaho,2014.0,$           6503,$           2237,$            247,$            247,$              4,$              0,$             38,$            213,N/A,$            346,$              0,$             34
Idaho,2015.0,$           5820,$           2392,$            260,$            259,$              4,$              0,$             40,$            204,N/A,$            349,$              0,$             35
Idaho,2016.0,$           5579,$           2482,$            259,$            258,$              4,$              0,$             29,$            117,N/A,$            305,$              0,$             36
Idaho,2017.0,$           6702,$           2596,$            253,$            252,$              4,$              0,$             29,$            139,N/A,$            300,$              0,$             39
Idaho,2018.0,$           6754,$           2733,$            250,$            249,$              4,$              0,$             64,$            135,N/A,$            372,$              0,$             39
Idaho,2019.0,$           6580,$           2692,$            256,$            255,$              4,$              0,$            108,$            161,N/A,$            391,$              0,$             41
Idaho,2020.0,$           7166,$           2857,$            251,$            250,$              4,$              0,$             96,$            145,N/A,$            414,$              0,$             41
Illinois,2010.0,$           5726,$           2164,$            240,$            240,$             52,$              0,$             12,$            265,N/A,$            411,$              0,$             31
Illinois,2011.0,$           6395,$           2395,$            253,$            253,$             52,$              0,$             10,$            265,N/A,$            335,$              0,$             31
Illinois,2012.0,$           5379,$           2928,$            231,$            231,$             54,$              0,$              5,$            177,N/A,$            323,$              0,$             30
Illinois,2013.0,$           6855,$           3119,$            235,$            235,$             75,$              0,$              5,$            176,N/A,$            328,$              0,$             31
Illinois,2014.0,$           7117,$           3212,$            227,$            227,$             79,$              0,$              7,$            141,N/A,$            352,$              0,$             35
Illinois,2015.0,$           6254,$           3149,$            226,$            226,$             81,$              0,$              8,$            153,N/A,$            421,$              0,$             30
Illinois,2016.0,$           5724,$           2867,$            241,$            241,$             95,$              0,$              7,$            144,N/A,$            463,$              0,$             28
Illinois,2017.0,$           6758,$           2939,$            242,$            242,$            101,$              0,$              5,$            163,N/A,$            467,$              0,$             32
Illinois,2018.0,$           7387,$           3303,$            235,$            235,$            109,$              0,$              3,$            162,N/A,$            352,$              0,$             37
Illinois,2019.0,$           6742,$           3537,$            234,$            234,$            112,$              0,$              5,$            157,N/A,$            335,$              0,$             38
Illinois,2020.0,$           7628,$           3542,$            231,$            231,$            116,$              0,$             11,$            173,N/A,$            406,$              0,$             41
Indiana,2010.0,$           5480,$           2125,$            507,$            507,$              0,$              0,$              3,$            104,N/A,$            288,$              0,$             34
Indiana,2011.0,$           5964,$           2286,$            538,$            538,$              0,$              0,$              4,$            107,N/A,$            288,$              0,$             32
Indiana,2012.0,$           5212,$           2488,$            509,$            509,$              0,$              0,$              8,$            102,N/A,$            332,$              0,$             31
Indiana,2013.0,$           5705,$           2565,$            490,$            490,$              0,$              0,$              1,$             93,N/A,$            286,$              0,$             33
Indiana,2014.0,$           5834,$           2581,$            496,$            496,$              0,$              0,$              1,$             94,N/A,$            254,$              0,$             34
Indiana,2015.0,$           5880,$           2630,$            504,$            503,$              0,$              0,$              5,$            103,N/A,$            264,$              0,$             33
Indiana,2016.0,$           6004,$           2652,$            512,$            512,$              0,$              0,$              3,$            102,N/A,$            256,$              0,$             33
Indiana,2017.0,$           6444,$           2718,$            513,$            513,$              0,$              0,$             11,$            121,N/A,$            245,$              0,$             33
Indiana,2018.0,$           7098,$           3279,$            534,$            534,$              0,$              0,$             15,$            123,N/A,$            246,$              0,$             37
Indiana,2019.0,$           7295,$           3397,$            536,$            536,$             59,$              0,$              9,$            125,N/A,$            286,$              0,$             39
Indiana,2020.0,$           7534,$           3297,$            528,$            528,$             45,$              0,$             12,$            125,N/A,$            320,$              0,$             39
Iowa,2010.0,$           6908,$           2232,$            400,$            400,$              2,$              0,$             17,$            398,N/A,$            444,$              0,$             27
Iowa,2011.0,$           7814,$           2357,$            432,$            432,$              2,$              0,$             10,$            398,N/A,$            370,$              0,$             30
Iowa,2012.0,$           7199,$           2573,$            408,$            408,$              0,$              0,$              5,$            513,N/A,$            421,$              0,$             30
Iowa,2013.0,$           8202,$           2799,$            425,$            425,$              0,$              0,$              8,$            513,N/A,$            389,$              0,$             29
Iowa,2014.0,$           8648,$           2746,$            442,$            442,$              0,$              0,$             12,$            545,N/A,$            433,$              0,$             30
Iowa,2015.0,$           8105,$           2930,$            451,$            451,$              0,$              0,$              9,$            583,N/A,$            491,$              0,$             30
Iowa,2016.0,$           7970,$           3037,$            469,$            468,$              0,$              0,$              7,$            592,N/A,$            479,$              0,$             31
Iowa,2017.0,$           9188,$           3085,$            487,$            486,$              1,$              0,$              6,$            630,N/A,$            509,$              0,$             30
Iowa,2018.0,$           9095,$           3181,$            500,$            500,$              1,$              0,$              5,$            744,N/A,$            531,$              0,$             31
Iowa,2019.0,$           9687,$           3324,$            511,$            511,$              0,$              0,$              7,$            771,N/A,$            509,$              0,$             32
Iowa,2020.0,$           9999,$           3344,$            491,$            491,$              1,$              0,$             14,$            805,N/A,$            541,$              0,$             34
Kansas,2010.0,$           5785,$           2271,$            317,$            316,$             29,$              0,$             14,$            444,N/A,$            355,$              0,$             35
Kansas,2011.0,$           6469,$           2366,$            335,$            334,$             31,$              0,$              2,$            526,N/A,$            360,$              0,$             32
Kansas,2012.0,$           4768,$           2566,$            320,$            320,$             31,$              0,$              1,$            622,N/A,$            371,$              0,$             31
Kansas,2013.0,$           6460,$           2626,$            340,$            339,$             32,$              0,$              1,$            635,N/A,$            337,$              0,$             35
Kansas,2014.0,$           6540,$           2519,$            353,$            352,$             35,$              0,$              2,$            649,N/A,$            342,$              0,$             32
Kansas,2015.0,$           6184,$           2698,$            368,$            367,$             37,$              0,$              2,$            608,N/A,$            373,$              0,$             34
Kansas,2016.0,$           6089,$           2753,$            392,$            391,$             39,$              0,$              1,$            737,N/A,$            380,$              0,$             33
Kansas,2017.0,$           7279,$           2792,$            414,$            413,$             41,$              0,$             11,$           1040,N/A,$            336,$              0,$             37
Kansas,2018.0,$           7460,$           3257,$            427,$            426,$             43,$              0,$              8,$           1049,N/A,$            258,$              0,$             37
Kansas,2019.0,$           7681,$           3419,$            427,$            426,$             45,$              0,$              8,$           1081,N/A,$            269,$              0,$             39
Kansas,2020.0,$           7801,$           3290,$            416,$            415,$             43,$              0,$              9,$           1147,N/A,$            296,$              0,$             40
Kentucky,2010.0,$           6386,$           2192,$            372,$            371,$              1,$              0,$              8,$            399,N/A,$            410,$              0,$             38
Kentucky,2011.0,$           7099,$           2332,$            399,$            398,$              1,$              0,$             10,$            397,N/A,$            400,$              0,$             39
Kentucky,2012.0,$           5682,$           2417,$            304,$            304,$             13,$              0,$              8,$            397,N/A,$            435,$              0,$             45
Kentucky,2013.0,$           6495,$           2463,$            313,$            313,$             13,$              0,$              9,$            386,N/A,$            466,$              0,$             49
Kentucky,2014.0,$           7041,$           2507,$            326,$            326,$             14,$              0,$              8,$            429,N/A,$            501,$              0,$             47
Kentucky,2015.0,$           6718,$           2610,$            341,$            340,$             14,$              0,$              8,$            443,N/A,$            547,$              0,$             50
Kentucky,2016.0,$           6708,$           2642,$            352,$            352,$             12,$              0,$              9,$            498,N/A,$            509,$              0,$             50
Kentucky,2017.0,$           7682,$           2661,$            367,$            367,$             14,$              0,$              9,$            508,N/A,$            396,$              0,$             39
Kentucky,2018.0,$           7733,$           2741,$            366,$            366,$             17,$              0,$              9,$            521,N/A,$            368,$              0,$             41
Kentucky,2019.0,$           7725,$           2908,$            365,$            364,$             17,$              0,$              8,$            532,N/A,$            395,$              0,$             43
Kentucky,2020.0,$           8469,$           2969,$            363,$            363,$             17,$              0,$              9,$            593,N/A,$            410,$              0,$             42
Louisiana,2010.0,$           7080,$           1927,$            275,$            268,$              8,$              3,$             54,$            644,N/A,$            439,$              0,$             60
Louisiana,2011.0,$           7423,$           1937,$            290,$            283,$              8,$              1,$             49,$            612,N/A,$            465,$              0,$             70
Louisiana,2012.0,$           5852,$           1954,$            253,$            248,$              8,$              2,$             26,$            498,N/A,$            402,$              0,$             48
Louisiana,2013.0,$           7184,$           1993,$            273,$            268,$              9,$              2,$             21,$            486,N/A,$            349,$              0,$             46
Louisiana,2014.0,$           7428,$           2086,$            294,$            288,$              8,$              2,$             23,$            462,N/A,$            310,$              0,$             44
Louisiana,2015.0,$           6024,$           2076,$            312,$            311,$              8,$              3,$             23,$            170,N/A,$            321,$              0,$             46
Louisiana,2016.0,$           5704,$           1986,$            329,$            328,$              8,$              3,$              5,$            167,N/A,$            329,$              0,$             47
Louisiana,2017.0,$           7757,$           2321,$            349,$            347,$              8,$              2,$              5,$            183,N/A,$            304,$              0,$             51
Louisiana,2018.0,$           7707,$           2432,$            352,$            350,$              9,$              2,$              6,$            190,N/A,$            287,$              0,$             52
Louisiana,2019.0,$           7332,$           2519,$            365,$            364,$             10,$              4,$              6,$            195,N/A,$            298,$              0,$             54
Louisiana,2020.0,$           7844,$           2447,$            366,$            365,$             10,$              3,$              6,$            204,N/A,$            321,$              0,$             55
Alaska,2010.0,$          17341,$           6335,$            256,$            245,$             82,$             26,$            120,$            249,N/A,$           2022,$              0,$            126
Alaska,2011.0,$          20651,$           7664,$            277,$            266,$             86,$             24,$            106,$            335,N/A,$           1950,$              0,$            131
Alaska,2012.0,$          20494,$           9642,$            251,$            241,$             88,$             22,$            111,$            329,N/A,$           1460,$              0,$            165
Alaska,2013.0,$          19277,$           6954,$            265,$            251,$             89,$             23,$            120,$            368,N/A,$           1558,$              0,$            190
Alaska,2014.0,$          17287,$           4600,$            254,$            244,$             88,$             24,$            112,$            344,N/A,$           1732,$              0,$            185
Alaska,2015.0,$          11321,$           1845,$            261,$            249,$             88,$             23,$            137,$            328,N/A,$           1717,$              0,$            177
Alaska,2016.0,$          10647,$           1207,$            276,$            263,$             97,$             25,$             89,$            262,N/A,$           1735,$              0,$            158
Alaska,2017.0,$          14275,$           1629,$            273,$            258,$             85,$             25,$             88,$            264,N/A,$           1541,$              0,$            157
Alaska,2018.0,$          13490,$           2245,$            264,$            257,$             92,$             29,$            171,$            342,N/A,$           1777,$              0,$            220
Alaska,2019.0,$          13654,$           2424,$            256,$            249,$            100,$             29,$             86,$            257,N/A,$           1452,$              0,$            179
Alaska,2020.0,$          13553,$           1800,$            233,$            226,$             65,$             29,$             74,$            269,N/A,$           1551,$              0,$            190
Maine,2010.0,$           6996,$           2628,$            333,$            328,$             84,$              0,$             29,$            399,N/A,$            423,$              0,$             57
Maine,2011.0,$           7978,$           2764,$            342,$            337,$             85,$              0,$             29,$            376,N/A,$            469,$              0,$             52
Maine,2012.0,$           6454,$           2838,$            250,$            245,$             86,$              0,$             31,$            292,N/A,$            450,$              0,$             55
Maine,2013.0,$           7443,$           2915,$            256,$            250,$             87,$              7,$             31,$            276,N/A,$            459,$              0,$             56
Maine,2014.0,$           7941,$           2878,$            256,$            250,$            100,$              7,$             28,$            269,N/A,$            421,$              0,$             56
Maine,2015.0,$           6676,$           3043,$            243,$            238,$            101,$              7,$             30,$            228,N/A,$            429,$              0,$             57
Maine,2016.0,$           6578,$           3082,$            242,$            238,$            104,$              7,$             29,$            231,N/A,$            507,$              0,$             64
Maine,2017.0,$           8038,$           3147,$            252,$            248,$            108,$              7,$             30,$            250,N/A,$            499,$              0,$             67
Maine,2018.0,$           8073,$           3266,$            259,$            255,$            110,$              9,$             28,$            249,N/A,$            479,$              0,$             68
Maine,2019.0,$           8099,$           3443,$            259,$            255,$            111,$              9,$             29,$            283,N/A,$            434,$              0,$             70
Maine,2020.0,$           9028,$           3561,$            240,$            239,$            112,$              6,$             33,$            269,N/A,$            576,$              0,$             71
Maryland,2010.0,$           6459,$           2631,$            338,$            338,$             60,$             21,$             14,$            287,N/A,$            354,$              0,$             69
Maryland,2011.0,$           7126,$           2738,$            352,$            352,$             60,$             26,$             13,$            280,N/A,$            348,$              0,$             78
Maryland,2012.0,$           6103,$           2891,$            316,$            316,$             73,$             23,$             15,$            302,N/A,$            299,$              0,$             74
Maryland,2013.0,$           7141,$           3039,$            324,$            324,$             84,$             23,$             13,$            289,N/A,$            300,$              0,$             82
Maryland,2014.0,$           7326,$           3150,$            325,$            324,$            111,$             23,$             18,$            284,N/A,$            335,$              0,$             82
Maryland,2015.0,$           6947,$           3306,$            332,$            332,$            118,$             23,$             15,$            287,N/A,$            387,$              0,$             84
Maryland,2016.0,$           6999,$           3437,$            344,$            344,$            116,$             25,$             13,$            288,N/A,$            391,$              0,$             87
Maryland,2017.0,$           7797,$           3534,$            358,$            358,$            123,$             24,$             14,$            300,N/A,$            389,$              0,$             89
Maryland,2018.0,$           7804,$           3653,$            366,$            366,$            122,$             24,$             14,$            294,N/A,$            428,$              0,$             91
Maryland,2019.0,$           7980,$           3830,$            372,$            372,$            121,$             22,$             16,$            266,N/A,$            434,$              0,$            100
Maryland,2020.0,$           8201,$           3869,$            349,$            349,$            105,$             17,$             19,$            431,N/A,$            388,$              0,$            106
Massachusetts,2010.0,$           7765,$           3058,$            362,$            362,$             60,$             32,$             16,$            231,N/A,$            267,$              0,$             81
Massachusetts,2011.0,$           8767,$           3331,$            385,$            385,$             71,$             99,$             14,$            243,N/A,$            257,$              0,$            105
Massachusetts,2012.0,$           7378,$           3410,$            339,$            339,$            122,$            101,$             54,$            227,N/A,$            306,$              0,$            109
Massachusetts,2013.0,$           8489,$           3537,$            354,$            353,$            119,$            116,$             49,$            215,N/A,$            303,$              0,$            111
Massachusetts,2014.0,$           9007,$           3701,$            361,$            359,$            132,$            118,$             68,$            214,N/A,$            365,$              0,$            147
Massachusetts,2015.0,$           8534,$           3929,$            366,$            365,$            136,$            122,$             50,$            261,N/A,$            400,$              0,$            120
Massachusetts,2016.0,$           8694,$           3953,$            387,$            386,$            141,$            127,$             64,$            292,N/A,$            400,$              0,$            122
Massachusetts,2017.0,$           9623,$           3953,$            391,$            390,$            146,$            133,$             60,$            324,N/A,$            386,$              0,$             73
Massachusetts,2018.0,$           9957,$           4240,$            393,$            392,$            157,$            134,$             52,$            338,N/A,$            323,$              0,$             76
Massachusetts,2019.0,$           9958,$           4533,$            385,$            384,$            156,$            136,$             53,$            357,N/A,$            294,$              0,$             74
Massachusetts,2020.0,$          10561,$           4504,$            375,$            374,$            146,$            119,$             44,$            383,N/A,$            305,$              0,$             82
Michigan,2010.0,$           6691,$           2248,$            455,$            453,$              2,$              0,$              4,$            350,N/A,$            154,$              0,$             27
Michigan,2011.0,$           6541,$           2407,$            482,$            481,$              3,$              0,$              6,$            358,N/A,$            134,$              0,$             26
Michigan,2012.0,$           6550,$           2411,$            427,$            426,$              3,$              0,$              0,$            392,N/A,$            126,$              0,$             27
Michigan,2013.0,$           6869,$           2507,$            444,$            443,$              3,$              0,$              1,$            430,N/A,$            126,$              0,$             37
Michigan,2014.0,$           7112,$           2516,$            457,$            456,$              3,$              0,$              2,$            441,N/A,$            134,$              0,$             41
Michigan,2015.0,$           6705,$           2699,$            475,$            474,$              3,$              0,$              2,$            464,N/A,$            122,$              0,$             43
Michigan,2016.0,$           7122,$           2755,$            487,$            486,$              3,$              0,$              1,$            525,N/A,$            131,$              0,$             46
Michigan,2017.0,$           7831,$           2906,$            505,$            504,$              3,$              0,$              1,$            590,N/A,$            146,$              0,$             47
Michigan,2018.0,$           8030,$           2984,$            515,$            514,$              3,$              0,$              0,$            645,N/A,$            162,$              0,$             49
Michigan,2019.0,$           7678,$           3004,$            525,$            524,$              3,$              0,$              0,$            678,N/A,$            191,$              0,$             50
Michigan,2020.0,$           7957,$           2787,$            523,$            523,$              3,$              0,$              0,$            724,N/A,$            216,$              0,$             53
Minnesota,2010.0,$           7513,$           3240,$            407,$            384,$              0,$              0,$              1,$            130,N/A,$            293,$              0,$             52
Minnesota,2011.0,$           8535,$           3541,$            448,$            425,$              0,$              0,$              0,$            136,N/A,$            293,$              0,$             55
Minnesota,2012.0,$           7181,$           3816,$            346,$            333,$              1,$              0,$             11,$            139,N/A,$            243,$              0,$             48
Minnesota,2013.0,$           8696,$           4216,$            349,$            337,$              1,$              0,$              8,$            101,N/A,$            279,$              0,$             52
Minnesota,2014.0,$           9003,$           4247,$            346,$            334,$              2,$             18,$             16,$            116,N/A,$            343,$              0,$             55
Minnesota,2015.0,$           8536,$           4443,$            340,$            340,$              2,$             18,$             28,$            120,N/A,$            344,$              0,$             57
Minnesota,2016.0,$           7974,$           4534,$            353,$            353,$              3,$             19,$             38,$            128,N/A,$            382,$              0,$             57
Minnesota,2017.0,$           9528,$           4566,$            354,$            354,$              4,$             19,$             18,$            150,N/A,$            312,$              0,$             64
Minnesota,2018.0,$          10289,$           4725,$            361,$            360,$              3,$             18,$              2,$            149,N/A,$            298,$              0,$             67
Minnesota,2019.0,$           9843,$           4955,$            365,$            364,$              3,$             19,$              5,$            155,N/A,$            332,$              0,$             76
Minnesota,2020.0,$           9758,$           4694,$            352,$            351,$              3,$             18,$              5,$            251,N/A,$            350,$              0,$             72
Mississippi,2010.0,$           7063,$           2110,$            259,$            256,$              0,$              0,$             50,$            483,N/A,$            357,$              0,$             33
Mississippi,2011.0,$           7872,$           2199,$            282,$            279,$              1,$              0,$             47,$            489,N/A,$            349,$              0,$             33
Mississippi,2012.0,$           6292,$           2332,$            252,$            249,$              1,$              0,$             40,$            472,N/A,$            357,$              0,$             35
Mississippi,2013.0,$           7415,$           2479,$            266,$            263,$              0,$              0,$             37,$            496,N/A,$            330,$              0,$             36
Mississippi,2014.0,$           7788,$           2536,$            286,$            282,$              0,$              0,$             31,$            501,N/A,$            317,$              0,$             37
Mississippi,2015.0,$           7147,$           2648,$            308,$            305,$              5,$              0,$              3,$            520,N/A,$            317,$              0,$             42
Mississippi,2016.0,$           7042,$           2567,$            335,$            333,$              3,$              0,$              0,$            581,N/A,$            324,$              0,$             45
Mississippi,2017.0,$           8149,$           2589,$            341,$            339,$              2,$              0,$              0,$            614,N/A,$            356,$              0,$             46
Mississippi,2018.0,$           7874,$           2653,$            354,$            352,$              6,$              0,$              0,$            619,N/A,$            348,$              0,$             47
Mississippi,2019.0,$           7843,$           2792,$            359,$            357,$              3,$              0,$              0,$            640,N/A,$            331,$              0,$             50
Mississippi,2020.0,$           7987,$           2739,$            359,$            356,$              3,$              0,$              0,$            685,N/A,$            327,$              0,$             49
Missouri,2010.0,$           5656,$           1619,$            303,$            302,$              1,$              0,$              9,$            474,N/A,$            336,$              0,$             35
Missouri,2011.0,$           6423,$           1683,$            320,$            318,$              0,$              0,$              8,$            481,N/A,$            307,$              0,$             36
Missouri,2012.0,$           5082,$           1792,$            279,$            279,$              1,$              0,$              7,$            532,N/A,$            273,$              0,$             47
Missouri,2013.0,$           5928,$           1843,$            293,$            293,$              1,$              0,$              8,$            550,N/A,$            235,$              0,$             41
Missouri,2014.0,$           6356,$           1855,$            300,$            300,$              1,$              0,$              8,$            562,N/A,$            216,$              0,$             42
Missouri,2015.0,$           5604,$           1975,$            317,$            317,$              1,$              0,$              9,$            587,N/A,$            213,$              0,$             46
Missouri,2016.0,$           5435,$           2018,$            329,$            329,$              1,$              0,$             11,$            634,N/A,$            195,$              0,$             44
Missouri,2017.0,$           6487,$           2044,$            320,$            320,$              1,$              0,$             11,$            701,N/A,$            194,$              0,$             40
Missouri,2018.0,$           6539,$           2125,$            311,$            311,$              1,$              0,$              9,$            733,N/A,$            223,$              0,$             42
Missouri,2019.0,$           6299,$           2146,$            315,$            315,$              1,$              0,$             11,$            758,N/A,$            221,$              0,$             41
Missouri,2020.0,$           6401,$           2016,$            303,$            303,$              1,$              0,$             11,$            792,N/A,$            245,$              0,$             41
Montana,2010.0,$           7546,$           2163,$            441,$            436,$              2,$              0,$             41,$            202,N/A,$            723,$              0,$             42
Montana,2011.0,$           7950,$           2308,$            455,$            452,$              1,$              0,$             32,$            200,N/A,$            693,$              0,$             42
Montana,2012.0,$           6800,$           2446,$            379,$            378,$              0,$              0,$             32,$            259,N/A,$            713,$              0,$             63
Montana,2013.0,$           7811,$           2603,$            390,$            389,$              0,$              0,$             31,$            272,N/A,$            616,$              0,$             60
Montana,2014.0,$           8127,$           2591,$            395,$            394,$              0,$              0,$             27,$            248,N/A,$            646,$              0,$             63
Montana,2015.0,$           7184,$           2749,$            401,$            400,$              0,$              0,$             28,$            253,N/A,$            653,$              0,$             66
Montana,2016.0,$           6745,$           2513,$            401,$            400,$              0,$              0,$             27,$            261,N/A,$            602,$              0,$             36
Montana,2017.0,$           8346,$           2580,$            416,$            415,$              0,$              0,$             25,$            333,N/A,$            563,$              0,$             52
Montana,2018.0,$          10289,$           2817,$            420,$            419,$              0,$              0,$             25,$            284,N/A,$            586,$              0,$             51
Montana,2019.0,$           8236,$           2946,$            418,$            417,$              0,$              0,$             27,$            289,N/A,$            670,$              0,$             55
Montana,2020.0,$           8182,$           2917,$            408,$            407,$              0,$              0,$             33,$            286,N/A,$            720,$              0,$             65
Nebraska,2010.0,$           5585,$           2112,$            358,$            358,$              1,$              0,$             11,$            338,N/A,$            356,$              0,$             38
Nebraska,2011.0,$           6270,$           2273,$            368,$            368,$              1,$              0,$              7,$            354,N/A,$            322,$              0,$             40
Nebraska,2012.0,$           5285,$           2349,$            339,$            323,$              1,$              0,$              9,$            254,N/A,$            366,$              0,$             42
Nebraska,2013.0,$           6242,$           2519,$            374,$            355,$              1,$              0,$              4,$            262,N/A,$            395,$              0,$             40
Nebraska,2014.0,$           6401,$           2586,$            388,$            368,$              1,$              0,$              3,$            250,N/A,$            397,$              0,$             39
